JOINT,X,Y,Z,ALPHA,BETA,GAMMA
0,0,0,0.5,0,0,0
1,-0.068,0.030,0.601,90,0,-180
2,0.408,0.110,0.708,92,2,-167
3,0.415,0.081,0.565,-176,4,0
4,0.450,0.098,0.231,93,0,2.1
5,0.462,0.080,0.203,3.6,2.1,0
