JOINT,X,Y,Z,ALPHA,BETA,GAMMA
0,0,0,0.67183,0,0,0
1,0,0,0.5322,90,0,-180
2,0.4319,0,0.5322,0,0,-180
3,0.4319,0.0,0.9653,90,0,0
4,0.4319,0,0.9653,-90,0,0
5,0.4319,0.080,1.0212,90,0,0
